drwxr-xr-x         0:0     1.2 MB  ├── bin
-rwxr-xr-x         0:0        0 B  │   ├── diff → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── dirname → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── dmesg → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── dnsd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── dnsdomainname → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── dos2unix → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── dpkg → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── dpkg-deb → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── du → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── dumpkmap → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── dumpleases → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── echo → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ed → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── egrep → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── eject → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── env → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── envdir → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── envuidgid → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ether-wake → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── expand → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── expr → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── factor → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fakeidentd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fallocate → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── false → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fatattr → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fbset → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fbsplash → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fdflush → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fdformat → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fdisk → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fgconsole → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fgrep → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── find → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── findfs → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── flock → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fold → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── free → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── freeramdisk → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fsck → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fsck.minix → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fsfreeze → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fstrim → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fsync → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ftpd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ftpget → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ftpput → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── fuser → bin/[
-rwxr-xr-x         0:0      78 kB  │   ├── getconf
-rwxr-xr-x         0:0        0 B  │   ├── getopt → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── getty → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── grep → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── groups → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── gunzip → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── gzip → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── halt → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── hd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── hdparm → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── head → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── hexdump → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── hexedit → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── hostid → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── hostname → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── httpd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── hush → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── hwclock → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── i2cdetect → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── i2cdump → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── i2cget → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── i2cset → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── id → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ifconfig → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ifdown → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ifenslave → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ifplugd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ifup → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── inetd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── init → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── insmod → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── install → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ionice → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── iostat → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ip → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ipaddr → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ipcalc → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ipcrm → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ipcs → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── iplink → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ipneigh → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── iproute → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── iprule → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── iptunnel → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── kbd_mode → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── kill → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── killall → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── killall5 → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── klogd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── last → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── less → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── link → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── linux32 → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── linux64 → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── linuxrc → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ln → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── loadfont → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── loadkmap → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── logger → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── login → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── logname → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── logread → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── losetup → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── lpd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── lpq → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── lpr → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ls → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── lsattr → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── lsmod → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── lsof → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── lspci → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── lsscsi → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── lsusb → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── lzcat → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── lzma → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── lzop → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── makedevs → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── makemime → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── man → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── md5sum → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mdev → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mesg → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── microcom → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mkdir → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mkdosfs → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mke2fs → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mkfifo → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mkfs.ext2 → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mkfs.minix → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mkfs.vfat → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mknod → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mkpasswd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mkswap → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mktemp → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── modinfo → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── modprobe → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── more → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mount → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mountpoint → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mpstat → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mt → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── mv → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── nameif → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── nanddump → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── nandwrite → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── nbd-client → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── nc → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── netstat → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── nice → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── nl → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── nmeter → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── nohup → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── nproc → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── nsenter → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── nslookup → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ntpd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── nuke → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── od → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── openvt → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── partprobe → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── passwd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── paste → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── patch → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── pgrep → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── pidof → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ping → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ping6 → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── pipe_progress → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── pivot_root → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── pkill → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── pmap → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── popmaildir → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── poweroff → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── powertop → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── printenv → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── printf → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ps → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── pscan → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── pstree → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── pwd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── pwdx → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── raidautorun → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── rdate → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── rdev → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── readahead → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── readlink → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── readprofile → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── realpath → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── reboot → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── reformime → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── remove-shell → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── renice → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── reset → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── resize → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── resume → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── rev → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── rm → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── rmdir → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── rmmod → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── route → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── rpm → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── rpm2cpio → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── rtcwake → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── run-init → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── run-parts → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── runlevel → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── runsv → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── runsvdir → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── rx → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── script → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── scriptreplay → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sed → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sendmail → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── seq → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── setarch → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── setconsole → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── setfattr → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── setfont → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── setkeycodes → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── setlogcons → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── setpriv → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── setserial → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── setsid → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── setuidgid → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sh → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sha1sum → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sha256sum → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sha3sum → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sha512sum → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── showkey → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── shred → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── shuf → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── slattach → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sleep → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── smemcap → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── softlimit → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sort → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── split → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ssl_client → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── start-stop-daemon → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── stat → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── strings → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── stty → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── su → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sulogin → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sum → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sv → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── svc → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── svlogd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── svok → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── swapoff → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── swapon → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── switch_root → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sync → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── sysctl → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── syslogd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── tac → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── tail → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── tar → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── taskset → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── tc → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── tcpsvd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── tee → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── telnet → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── telnetd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── test → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── tftp → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── tftpd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── time → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── timeout → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── top → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── touch → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── tr → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── traceroute → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── traceroute6 → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── true → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── truncate → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── tty → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ttysize → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── tunctl → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ubiattach → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ubidetach → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ubimkvol → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ubirename → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ubirmvol → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ubirsvol → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── ubiupdatevol → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── udhcpc → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── udhcpd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── udpsvd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── uevent → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── umount → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── uname → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── unexpand → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── uniq → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── unix2dos → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── unlink → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── unlzma → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── unshare → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── unxz → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── unzip → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── uptime → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── users → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── usleep → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── uudecode → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── uuencode → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── vconfig → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── vi → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── vlock → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── volname → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── w → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── wall → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── watch → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── watchdog → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── wc → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── wget → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── which → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── who → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── whoami → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── whois → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── xargs → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── xxd → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── xz → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── xzcat → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── yes → bin/[
-rwxr-xr-x         0:0        0 B  │   ├── zcat → bin/[
-rwxr-xr-x         0:0        0 B  │   └── zcip → bin/[
drwxr-xr-x         0:0        0 B  ├── dev
drwxr-xr-x         0:0     1.0 kB  ├── etc
-rw-rw-r--         0:0      307 B  │   ├── group
-rw-r--r--         0:0      127 B  │   ├── localtime
drwxr-xr-x         0:0        0 B  │   ├── network
drwxr-xr-x         0:0        0 B  │   │   ├── if-down.d
drwxr-xr-x         0:0        0 B  │   │   ├── if-post-down.d
drwxr-xr-x         0:0        0 B  │   │   ├── if-pre-up.d
drwxr-xr-x         0:0        0 B  │   │   └── if-up.d
-rw-r--r--         0:0      340 B  │   ├── passwd
-rw-------         0:0      243 B  │   └── shadow
drwxr-xr-x 65534:65534        0 B  ├── home
drwx------         0:0        0 B  ├── root
drwxrwxrwx         0:0        0 B  ├── tmp
drwxr-xr-x         0:0        0 B  ├── usr
drwxr-xr-x         1:1        0 B  │   └── sbin
drwxr-xr-x         0:0        0 B  └── var
drwxr-xr-x         0:0        0 B      ├── spool
drwxr-xr-x         8:8        0 B      │   └── mail
drwxr-xr-x         0:0        0 B      └── www

